Período: 1,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,IF682- ENGENHARIA SOFTWARE E SISTEMAS,Breno Miranda ,ter. 15:00-16:50 (Grad04) / qui. 13:00-14:50 (Grad04) /  ter. 12:00-12:50
CC,,CIN0142- ESTATÍSTICA E PROBABILIDADE PARA COMPUTAÇÃO,Renata Souza ,seg. 13:00-14:50 (E113) /  qua. 15:00-16:50 (E113)
CC,,CIN0141- LÓGICA PARA COMPUTAÇÃO,Ruy de Queiroz ,ter. 15:00-16:50 (Sala 8 - Área 2) /  sex. 13:00-14:50 (Sala 8 - Área 2)
CC,,CIN0143- INTRODUÇÃO A SISTEMAS DISTRIBUÍDOS E REDES DECOMPUTADORES,Carlos Ferraz ,qua. 13:00-14:50 (E132) /  sex. 15:00-16:50 (E132)
CC,,IF680- PROCESSAMENTO GRAFICO,Silvio Melo ,sex. 10:00-11:50 (Sala 7 - Área 2) /  sex. 12:00-12:50 (Sala 7 - Área 2)
CC,,CIN0144- APRENDIZADO DE MÁQUINA E CIÊNCIA DE DADOS,Ricardo Prudêncio  / Paulo Freitas Araújo Filho ,seg. 15:00-16:50 (E233) / ter. 13:00-14:50 (E233) / qui. 13:00-14:50 (E233) /  qui. 15:00-16:50 (E233)
Período: 5,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,IF690- HISTORIA E FUTURO DA COMPUTACAO,Francisco de Assis Tenorio de Carvalho ,sex. 08:00-09:50 (E113) /  sex. 7:00-7:50 (E113)
CC,,CIN0055 – TENDÊNCIAS EM MÍDIA E INTERAÇÃO,Giordano Cabral ,ter. 10:00-11:50 (E233) /  qui. 08:00-09:50 (E233)
CC,,CIN0147- METODOLOGIA CIENTÍFICA,Patrícia Tedesco ,qua. 10:00-11:50 (E232) /  sex. 08:00-09:50 (E232)
CC,,CIN0145- PROGRAMAÇÃO CONCORRENTE,André Luís de Medeiros Santos , seg. 10:00-11:50 (Grad04)
CC,,CIN0146- PROGRAMAÇÃO FUNCIONAL,André Luís de Medeiros Santos , qua. 08:00-09:50 (Grad04)
CC,,CIN0176 – PROJETO DE DESENVOLVIMENTO,Geber Ramalho ,seg. 08:00-09:50 (E232) /  seg. 10:00-11:50 (E232)
CC,,CIN0149- INFORMÁTICA E SOCIEDADE,Carina Frota Alves , ter. 10:00-11:50 (E113)
CC,,CIN0148- TEORIA DA COMPUTAÇÃO,Adenilton José da Silva ,ter. 08:00-09:50 (Sala 11 - Área 2) /  sex. 10:00-11:50 (Sala 11 - Área 2)
CC,,IF688- TEO.IMPLEMEN.LING. COMPUTACIONAIS,Rodrigo Bonifácio de Almeida ,ter. 08:00-09:50 (Sala 7 - Área 2) / qui. 10:00-11:50 (Sala 7 - Área 2) /  ter. 7:00-7:50
Período: 5,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,IF690- HISTORIA E FUTURO DA COMPUTACAO,Francisco de Assis Tenorio de Carvalho ,sex. 08:00-09:50 (E113) /  sex. 7:00-7:50 (E113)
CC,,CIN0055 – TENDÊNCIAS EM MÍDIA E INTERAÇÃO,Giordano Cabral ,ter. 10:00-11:50 (E233) /  qui. 08:00-09:50 (E233)
CC,,CIN0147- METODOLOGIA CIENTÍFICA,Patrícia Tedesco ,qua. 10:00-11:50 (E232) /  sex. 08:00-09:50 (E232)
CC,,CIN0145- PROGRAMAÇÃO CONCORRENTE,André Luís de Medeiros Santos , seg. 10:00-11:50 (Grad04)
CC,,CIN0146- PROGRAMAÇÃO FUNCIONAL,André Luís de Medeiros Santos , qua. 08:00-09:50 (Grad04)
CC,,CIN0176 – PROJETO DE DESENVOLVIMENTO,Geber Ramalho ,seg. 08:00-09:50 (E232) /  seg. 10:00-11:50 (E232)
CC,,CIN0149- INFORMÁTICA E SOCIEDADE,Carina Frota Alves , ter. 10:00-11:50 (E113)
CC,,CIN0148- TEORIA DA COMPUTAÇÃO,Adenilton José da Silva ,ter. 08:00-09:50 (Sala 11 - Área 2) /  sex. 10:00-11:50 (Sala 11 - Área 2)
CC,,IF688- TEO.IMPLEMEN.LING. COMPUTACIONAIS,Rodrigo Bonifácio de Almeida ,ter. 08:00-09:50 (Sala 7 - Área 2) / qui. 10:00-11:50 (Sala 7 - Área 2) /  ter. 7:00-7:50
Período: 9,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
CC,,IF691- TRABALHO DE GRADUAÇÃO (Horário: 23456M1/7M23456),Anjolina Grisi ,
CC,,IF691- TRABALHO DE GRADUAÇÃO (Horário: 23456M1/7M23456),Veronica Teichrieb ,
