Período: 1,,,,
Eng. Controle Automação,03A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , qui. 08:00-09:50
Eng. Controle Automação,04A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , qui. 10:00-11:50
Eng. Controle Automação,05A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , sex. 13:00-14:50
Eng. Controle Automação,06A,EL398- LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,Docente Externo , sex. 15:00-16:50
EC,,CIN0033- TEORIA DA COMPUTAÇÃO,Ruy de Queiroz ,ter. 08:00-09:50 (E233) /  qui. 10:00-11:50 (E233)
EC,,CIN0017- COMPLEMENTOS DE MATEMÁTICA PARA COMPUTAÇÃO,Stefan Blawid ,seg. 08:00-09:50 (E122) /  qua. 10:00-11:50 (E122)
EC,,CIN0019- BANCO DE DADOS,Robson Fidalgo ,seg. 15:00-16:50 (E232) /  qua. 15:00-16:50 (E232)
EC,,IF690- HISTORIA E FUTURO DA COMPUTACAO,Francisco de Assis Tenorio de Carvalho ,sex. 08:00-09:50 (E113) /  sex. 7:00-7:50 (E113)
EC,,CIN0018- FUNDAMENTOS DE REDES DE COMPUTADORES,Renato Mariz ,ter. 10:00-11:50 (E122) /  sex. 08:00-09:50 (E122)
EC,,IF686- PARADIGMAS LING.COMPUTACIONAIS,André Luís de Medeiros Santos ,seg. 08:00-09:50 (Grad03) / qua. 10:00-11:50 (Grad03) /  seg. 7:00-7:50
EC,,ES413- SINAIS SISTEMAS P/ENG. COMPUTACAO,Aluízio Fausto Ribeiro Araújo ,qua. 08:00-09:50 (Sala 4 - Área 2) / sex. 10:00-11:50 (Sala 4 - Área 2) /  qua. 7:00-7:50
Período: 6,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,CIN0021- ELETROMAGNETISMO,Odilon Maroja da Costa Pereira Filho ,ter. 13:00-14:50 (E131) /  qui. 15:00-16:50 (E131)
EC,,IF682- ENGENHARIA SOFTWARE E SISTEMAS,Breno Miranda ,ter. 15:00-16:50 (Grad04) / qui. 13:00-14:50 (Grad04) /  ter. 12:00-12:50
EC,,LE530- INGLES PARA COMPUTACAO,Docente Externo ,seg. 08:00-09:50 (E132) / seg. 10:00-11:50 (E132) /  seg. 7:00-7:50
EngEletronica,,ES232- INTRODUCAO DISPOS SEMICONDUTORES,Docente Externo , qua. 10:00-11:50 sex. 10:00-11:50
Período: 7,,,,
Órgão ofertante,Turma,Disciplina,Docente (s),Horário (Sala/Lab)
EC,,ES238- ELETRONICA 1,Adrien ,seg. 08:00-09:50 (Lab Hardw) / qui. 10:00-11:50 (Lab Hardw) /  seg. 7:00-7:50
